company,grossProfit,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,cash,commonStock,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,esgRiskRating,esgCluster
AALI.jk,0.06737400530503979,0.22482873157566952,0.10269989615784009,0.2701583773270353,0.2701583773270353,0.26845056065239553,0.13510127375234915,0.018562042482736036,0.10374424679686528,0.41318352059925095,0.10619256343057257,0.0006982418201361295,0.008118764571401198,0.028975469294563537,0.2854202401372213,0.014978725863508404,0.03049884761458754,0.0980613631407371,0.2782773308092759,0.0167131421241656,0.01841643292544681,0.0013243516161606384,0.006005409652141393,0.11659877800407331,0.6844262295081969,1.0
ACES.jk,0.07204244031830238,0.2137429935644592,0.06386292834890965,0.26737982772992497,0.26737982772992497,0.2642966360856269,0.11660054291083734,0.0486196500205782,0.038562010200273666,0.43911856030883895,0.04101672026459447,0.00014733175995127506,0.01846084381092104,0.004019083737360894,0.2391080617495712,0.0003853496132013815,0.008286719459923203,0.00820300049765988,0.2315664931377189,0.003941972278793084,0.01546902631936932,0.0005621638711717204,0.0012871841108137959,0.058935845213849286,0.11475409836065573,0.0
ADRO.jk,0.12424403183023872,0.261365995432842,0.13946002076843197,0.306196165601556,0.306196165601556,0.30428134556574926,0.20755898935059514,0.045005127595141484,0.1939295932329892,0.28464419475655434,0.20919213998786895,0.0028255182901568542,0.14163242411720892,0.15558963804553594,0.3670668953687821,0.006508166157819276,0.04443665678216173,0.23505762230410931,0.37056318031235214,0.056922129423221654,0.08047391707099039,0.013269325693711831,0.02533491428919316,0.2651052274270197,0.5819672131147542,0.6666666666666667
AKRA.jk,0.05718832891246684,0.22026157359352294,0.07279335410176532,0.27271464295637676,0.27271464295637676,0.2701834862385321,0.12111087909793276,0.015327996102082133,0.10125637517104118,0.4467750003745318,0.09989814486318223,0.002734609039301268,0.012877287734790265,0.01125327651280318,0.25128644939965694,0.0019895899937476505,0.014833874774950847,0.030346069325698822,0.24245149077141506,0.011057782241299913,0.025218140477933318,0.003994025093317589,0.005715503320877024,0.07395621181262729,0.2930327868852459,0.3333333333333333
ANTM.jk,0.08625994694960212,0.22856549719742578,0.09470404984423676,0.27896637954987497,0.27896637954987497,0.2749745158002039,0.1436625600334099,0.041961319236878986,0.15474561512625948,0.3953558052434457,0.15540347223016973,0.0006100598468062106,0.03312809559299591,0.0744024090809653,0.286106346483705,0.010134358941525657,0.050461646335868145,0.1086855628309578,0.2512541410317085,0.019136867788250897,0.028813328755676187,0.00597006739514071,0.009027683155572433,0.11744738628649015,0.5860655737704918,0.6666666666666667
APIC.jk,0.038716180371352785,0.19686526883952668,0.044359878103634474,0.24984717977215895,0.24984717977215895,0.2483435270132518,0.0975305311135519,0.0032478816802278456,0.011444209478790893,0.4465821808450187,0.010860733128097141,0.00039187764475280285,0.0026352124846936585,0.037125782552485415,0.22775300171526586,0.0018196122070114138,0.00036439177352929486,0.0001509754692820836,0.2124940842404165,0.0024690928367720197,0.00902359868629877,0.001082387252672093,0.001939473356158625,0.044848947725729796,0.1413934426229508,0.0
APLN.jk,0.05877984084880636,0.20271953498027817,0.06593977154724819,0.2432064462350653,0.2432064462350653,0.2502548419979613,0.12194612653998747,0.016107971993886895,0.021644483144669737,0.3797752808988764,0.026997333455406905,0.0007191509478329144,0.007002053356175043,0.07029566209053956,0.2504631217838765,0.02631057831259085,0.17417476517197333,0.021343458009248646,0.23270231897775676,0.0183289592335558,0.03707254506940981,0.00484896584431045,0.013593707872986237,0.07306517311608961,0.3627049180327869,0.3333333333333333
ASII.jk,0.35596816976127316,0.6450072659331534,0.37279335410176534,0.6971380939149764,0.6971380939149764,0.7196738022426096,0.39444560451033617,0.29992407759962564,1.0,1.0,1.0,0.014998266979719892,0.3966425971464653,0.06239807172433619,0.7049742710120068,0.09359345222901788,0.8313002924962204,0.4419499320610388,0.9148130619971604,0.209492552636796,0.42671322057613703,0.06900178408390678,0.10346467056494046,0.698744059742023,0.6475409836065574,1.0
ASSA.jk,0.04482758620689655,0.19599066434961593,0.044337889900415366,0.24943450181139207,0.24943450181139207,0.24729603521865445,0.10238045520985592,0.008422355889274091,0.015549197661400671,0.4260674157303371,0.01601071195596196,8.462474989858303e-05,0.0015601695983938522,0.009326264463449557,0.22521440823327615,1.6431534222336045e-05,0.00764405390752785,0.0026560499225551757,0.21234737340274493,0.0026493185912809265,0.0012113517260142642,0.0010420598587573353,0.0025265336769689714,0.04226069246435845,0.1987704918032787,0.3333333333333333
BBCA.jk,0.6944297082228116,0.892048993149263,0.7102803738317757,1.0,1.0,0.936289500509684,0.7974524953017332,0.46923591752797705,0.18460007463614878,0.4429703370786517,0.3619748452145253,0.7690905028268102,0.6566529696468836,0.047234698221225724,0.8490566037735848,0.5821379409400849,0.5983340297529054,0.12154643614017234,0.9716043539990535,0.6706218969319984,0.8963549325335389,0.6951249020044328,0.6455895100293094,0.8217922606924642,0.2991803278688525,0.3333333333333333
